Name,Province,ID,Lat,Lon,Elevation
CAMROSE,AB,3011240,53.05,-112.82,739
CORONATION A,AB,3011880,52.07,-111.45,791
EDMONTON INTERNATIONAL CS,AB,3012206,53.32,-113.62,715
EDMONTON BLATCHFORD,AB,3012209,53.57,-113.52,671
EDMONTON NAMAO A,AB,3012210,53.67,-113.47,687
ELLERSLIE,AB,3012295,53.42,-113.55,693
ROCKY MTN HOUSE (AUT),AB,3015523,52.42,-114.92,988
VEGREVILLE,AB,3016GF0,53.52,-112.1,639
EDMONTON STONY PLAIN CS,AB,301A001,53.55,-114.12,766
DRUMHELLER EAST,AB,30221LG,51.45,-112.68,678
LACOMBE CDA 2,AB,3023722,52.45,-113.77,860
RED DEER REGIONAL A,AB,3025481,52.18,-113.88,904
BROOKS,AB,3030QLP,50.57,-111.85,747
CALGARY INT'L CS,AB,3031094,51.12,-114.0,1081
LETHBRIDGE CDA,AB,3033890,49.7,-112.77,910
MEDICINE HAT RCS,AB,3034485,50.03,-110.72,715
PINCHER CREEK A,AB,3035202,49.52,-114.0,1189
VAUXHALL CDA,AB,3036681,50.05,-112.13,778
MANYBERRIES CDA,AB,3044200,49.12,-110.47,934
JASPER,AB,3053520,52.88,-118.07,1062
KANANASKIS,AB,3053600,51.03,-115.03,1391
EDSON A,AB,3062244,53.58,-116.47,927
FORT MCMURRAY CS,AB,3062696,56.65,-111.22,368
MILDRED LAKE,AB,3064528,57.03,-111.57,310
SLAVE LAKE A,AB,3066001,55.3,-114.78,580
WHITECOURT A,AB,3067372,54.13,-115.78,782
BEAVERLODGE CDA,AB,3070560,55.2,-119.4,744
FORT CHIPEWYAN A,AB,3072658,58.77,-111.12,232
GRANDE PRAIRIE A,AB,3072920,55.18,-118.88,669
HIGH LEVEL A,AB,3073146,58.62,-117.17,338
PEACE RIVER A,AB,3075040,56.23,-117.45,570
WATINO,AB,3077246,55.72,-117.63,393
COLD LAKE A,AB,3081680,54.42,-110.28,541
LAKE COWICHAN,BC,1012055,48.83,-124.05,171
JORDAN RIVER DIVERSION,BC,1013754,48.5,-124.0,393
JORDAN RIVER GENERATING,BC,1013755,48.42,-124.05,4
NORTH COWICHAN,BC,1015628,48.82,-123.72,45
PORT RENFREW,BC,1016335,48.58,-124.33,10
SAANICH CAMOSUN COLLEGE,BC,1016941,48.5,-123.42,38
SATURNA CAPMON CS,BC,1017099,48.78,-123.13,178
