Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1980,2.5,3.1,3.7,5.9,10.4,17.4,44.2,59.4,61.0
1981,3.5,5.3,6.6,10.1,11.0,13.5,26.5,46.5,59.3
1982,2.1,3.8,3.8,5.9,7.8,12.9,29.1,38.0,48.0
1983,3.4,3.6,3.8,5.6,7.6,14.8,35.3,63.0,97.0
1984,3.2,4.8,6.4,7.8,9.7,11.8,26.0,29.8,39.0
1985,3.2,6.3,9.2,9.6,15.2,15.3,19.3,27.1,32.3
1986,2.3,3.2,3.6,5.5,7.5,12.5,31.6,55.7,86.0
1987,1.8,2.5,3.3,4.7,8.7,13.7,29.9,38.8,53.0
1988,3.9,5.8,6.8,7.0,9.4,18.2,40.7,58.9,67.5
1989,3.6,6.7,7.9,14.9,18.4,23.0,27.2,44.2,49.1
1990,7.3,10.8,11.8,13.5,13.6,18.0,32.2,51.9,73.0
1991,1.5,2.6,3.7,6.8,11.6,17.8,29.9,46.1,77.3
1992,1.9,3.4,4.1,7.7,10.0,12.6,30.4,46.0,56.0
1993,6.6,9.4,11.2,11.4,11.4,13.2,,,50.0
1994,2.3,3.6,4.1,6.6,10.0,11.8,31.2,47.2,57.1
1995,6.7,10.7,12.5,13.7,14.0,14.9,34.2,40.2,50.1
1996,3.9,5.3,6.0,6.8,7.3,13.2,32.3,37.9,43.4
1997,3.2,4.6,5.7,8.3,11.3,14.8,37.0,59.4,96.4
1998,1.8,2.8,4.2,5.6,11.1,17.3,37.6,44.8,72.6
1999,1.6,2.4,3.0,3.9,5.8,11.5,,,72.8
2000,2.3,3.0,3.2,4.0,6.3,10.1,,,47.8
2001,8.6,13.4,16.6,20.8,22.0,24.3,49.7,61.5,83.2
2002,1.3,2.1,3.0,4.9,8.2,12.6,28.6,34.7,63.1
2003,,,,,10.3,16.2,27.1,43.4,58.7
2004,2.7,4.4,5.9,10.8,16.9,26.7,33.0,33.2,43.1
2005,3.4,6.1,8.5,10.4,10.8,11.7,24.8,32.9,44.0
2006,1.9,2.8,3.7,5.4,10.0,15.2,30.9,41.3,50.0
2007,5.3,5.5,6.1,7.9,14.2,22.4,53.3,60.9,73.3
