Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,,,,,6.3,11.2,21.8,32.8,34.5
1972,,,,,30.5,37.1,37.1,38.1,40.4
1973,,,,,7.4,10.9,27.2,37.1,54.1
1974,,,,,9.9,11.9,24.9,35.6,45.0
1975,,,,,10.2,19.8,37.6,45.0,45.7
1976,,,,,6.9,8.9,16.8,30.5,30.7
1977,,,,,9.1,13.7,23.9,24.6,28.4
1978,,,,,5.9,8.6,19.5,26.0,38.1
1979,,,,,8.3,11.5,21.9,32.6,41.7
1980,,,,,7.1,9.2,20.8,27.2,41.7
1981,,,,,19.0,20.9,24.6,35.8,44.8
1982,,,,,7.8,11.8,28.1,36.9,44.4
1983,,,,,8.2,12.3,28.9,50.7,69.0
1984,,,,,9.1,13.7,27.1,48.1,52.7
1985,,,,,11.2,16.9,25.7,30.2,39.2
1986,,,,,7.8,11.3,26.1,45.9,64.0
1987,,,,,7.3,10.9,16.8,23.2,32.8
1988,,,,,7.1,13.1,31.5,46.8,52.3
1989,,,,,,,,,
1990,,,,,9.3,17.2,36.2,50.1,63.0
1991,,,,,8.1,13.8,27.6,43.2,73.3
