Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1982,1.1,1.9,2.6,5.0,9.9,18.2,35.6,48.2,73.3
1983,1.8,3.3,4.7,6.8,10.6,18.6,38.3,61.4,115.2
1984,2.7,4.0,6.0,12.0,20.7,29.3,47.8,84.5,117.5
1985,8.2,10.4,10.8,11.2,12.8,16.2,29.1,54.2,79.8
1986,2.1,2.8,3.8,7.6,13.6,22.7,57.5,86.4,138.0
1987,5.9,7.0,7.2,7.2,11.9,18.7,43.1,76.3,145.3
1988,2.1,3.6,4.2,6.4,10.2,14.8,38.2,58.7,76.3
1989,2.4,3.2,3.9,6.6,12.4,21.8,51.9,96.6,137.6
1990,2.4,3.7,4.6,7.1,13.9,24.8,68.8,107.4,189.4
1991,1.2,1.9,2.7,5.2,9.5,16.1,37.7,68.3,129.6
