Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1974,6.6,9.4,11.9,15.5,25.2,37.9,52.8,52.8,52.9
1976,3.6,5.8,8.6,12.7,14.7,16.3,32.0,44.9,58.4
1977,4.8,4.8,4.8,6.6,10.7,16.8,33.8,50.8,53.9
1978,2.0,3.0,4.6,6.2,9.7,14.8,35.6,40.4,54.7
1979,4.6,8.3,9.4,17.4,20.0,21.4,52.0,87.9,117.3
1980,2.3,3.9,5.1,7.2,11.8,22.9,45.9,60.0,73.6
1981,3.8,5.4,6.6,10.1,11.4,15.2,33.4,51.4,73.7
1982,4.6,4.6,4.6,6.7,10.2,17.6,38.6,58.8,81.9
1983,2.6,3.6,4.0,6.3,7.6,10.8,30.6,50.2,72.2
1984,,,,,13.1,17.2,36.7,43.4,74.0
1985,,,,,13.5,17.9,26.6,36.1,48.1
1986,,,,,7.5,11.6,30.2,45.7,79.1
1987,,,,,7.3,9.8,20.2,29.0,55.2
1988,,,,,5.9,9.8,,,68.4
1989,,,,,5.2,8.6,,,61.0
1990,,,,,15.7,19.7,33.1,44.7,73.8
1991,,,,,17.3,22.5,40.1,52.4,70.6
1992,,,,,14.6,15.3,32.8,43.9,77.6
