Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1974,,,,,13.2,19.8,46.5,67.8,73.2
1975,,,,,10.7,18.5,40.1,62.0,97.3
1976,,,,,8.6,15.7,36.6,49.0,66.0
1977,,,,,13.0,21.8,36.8,54.6,72.1
1978,,,,,15.0,17.6,43.2,47.4,66.2
1980,,,,,9.6,16.8,40.0,64.8,87.8
1981,,,,,10.8,19.0,43.6,71.2,109.8
1982,,,,,7.8,13.8,29.2,47.2,64.4
1983,,,,,14.4,21.0,29.6,41.0,64.0
1984,,,,,11.2,15.0,30.0,47.6,76.4
1985,,,,,9.6,13.4,23.7,38.8,58.2
1986,,,,,12.4,20.0,40.4,61.4,78.6
1987,,,,,6.6,10.4,23.0,33.0,50.0
1988,,,,,13.2,22.0,44.8,63.8,72.8
1989,,,,,24.4,30.8,73.4,107.6,161.8
1990,,,,,15.0,19.7,39.2,54.6,97.8
1991,,,,,15.0,21.4,56.6,83.6,101.6
