Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1990,,,,,,,,70.2,119.8
1991,6.1,9.9,11.8,17.2,20.8,31.5,51.5,80.6,109.5
1992,3.2,5.8,7.4,11.0,14.2,21.6,40.8,58.7,91.9
1993,4.9,8.4,10.3,13.8,17.2,25.4,51.9,54.7,77.9
1994,11.9,15.7,16.6,17.1,19.7,20.7,,,87.4
1995,5.3,7.4,8.7,9.9,17.7,27.9,63.9,90.6,99.4
1996,6.4,8.5,10.7,12.1,16.6,21.7,50.7,70.4,77.8
1997,8.4,12.9,16.2,18.5,19.0,19.4,50.6,77.0,117.1
1998,7.1,9.2,10.9,13.4,16.1,24.6,48.4,88.5,127.9
1999,2.9,4.5,5.9,8.3,13.0,23.4,53.7,76.7,100.9
2000,2.9,5.3,6.6,11.0,15.5,21.1,45.8,65.4,71.1
2001,5.6,8.8,10.0,12.0,14.2,25.5,56.2,78.7,84.7
2002,2.8,4.0,5.2,8.1,10.9,17.1,30.6,50.0,93.7
2003,2.6,3.8,5.6,8.0,14.9,26.9,62.3,92.6,139.2
2004,3.5,5.4,7.0,7.8,11.2,18.3,49.3,86.2,121.4
2005,3.6,4.6,5.7,10.3,17.2,20.0,46.2,80.5,118.8
2006,7.3,11.2,16.7,24.1,31.7,35.0,66.3,100.4,133.0
2007,,,,,21.2,34.2,57.0,110.1,143.4
2008,3.0,4.5,6.3,8.4,12.8,19.9,28.8,38.9,60.5
2009,3.2,4.3,6.1,9.5,14.2,21.5,35.3,55.9,86.9
2010,4.1,5.4,6.9,11.0,14.8,19.1,34.9,54.5,87.7
