Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1955,3.0,4.6,5.1,5.3,6.9,8.9,15.5,17.0,17.0
1957,3.0,5.1,7.4,7.9,7.9,7.9,17.0,17.5,30.0
1958,3.3,5.3,5.3,5.3,5.6,7.9,11.2,15.0,19.6
1959,1.3,2.3,2.3,3.0,3.0,5.3,10.4,13.5,14.7
1960,1.5,2.0,2.5,3.3,6.1,8.4,15.2,15.5,16.8
1961,2.5,2.5,2.5,4.1,6.1,9.9,19.6,20.6,22.6
1962,2.8,3.3,3.6,4.1,6.9,8.6,12.7,14.2,20.6
1963,3.8,5.8,5.8,5.8,7.6,7.9,9.7,17.0,22.6
1964,2.8,3.8,5.3,8.9,10.7,11.4,16.0,21.1,24.1
1965,3.3,3.8,4.6,7.9,10.2,12.2,20.3,21.3,26.7
1966,3.3,4.1,4.6,4.8,5.1,6.6,10.9,11.7,15.5
1967,,,,,,,,,
1968,7.1,11.4,11.7,12.4,13.2,13.2,13.5,21.1,22.6
1969,2.0,3.3,3.8,5.1,6.3,8.4,11.2,17.3,17.3
1970,,,,,,,,,
1971,2.5,3.8,4.3,4.6,6.3,9.9,14.5,15.2,20.1
1972,2.5,4.1,4.6,5.8,6.9,10.4,14.5,17.8,17.8
1973,2.8,4.8,6.6,10.7,10.7,11.7,17.0,23.4,26.7
1974,2.3,2.8,3.8,6.3,9.7,10.2,12.7,15.7,19.0
1975,7.9,11.2,11.9,11.9,12.2,12.2,12.2,14.7,15.7
1976,4.1,4.6,5.1,6.3,6.6,8.1,11.7,19.8,21.6
1977,2.8,5.1,6.9,8.6,8.9,9.4,14.0,14.2,14.2
1978,3.0,3.3,3.3,4.6,7.1,10.5,12.4,17.6,18.8
1979,3.6,5.0,6.0,7.2,8.6,13.3,17.3,18.6,22.8
1980,2.0,3.0,4.8,8.3,10.6,13.8,14.8,16.7,18.2
1981,4.5,5.3,5.7,6.4,8.3,9.5,11.2,11.7,18.7
1982,4.0,6.7,7.4,9.3,14.4,17.4,18.2,21.2,30.2
1983,3.2,4.7,5.9,7.1,10.0,13.4,21.2,21.7,26.0
1984,8.4,8.6,8.6,8.7,9.1,9.4,11.1,19.0,19.0
1985,1.9,2.5,3.5,4.1,6.4,7.5,10.7,15.1,16.7
1986,2.0,2.8,3.4,3.8,6.0,10.5,13.7,13.8,16.0
1987,4.9,6.1,8.2,8.6,9.0,12.9,24.4,27.2,33.2
1988,3.1,4.4,5.4,6.7,9.0,11.1,12.6,18.5,24.8
1989,4.3,5.4,5.6,6.6,8.5,12.7,,,32.5
1990,3.0,4.6,6.0,9.3,12.8,22.2,38.3,47.2,52.4
1991,3.8,6.4,7.6,8.6,9.2,9.4,9.4,12.6,14.4
1992,1.6,2.4,2.8,4.2,5.8,7.6,9.8,14.8,15.0
1993,1.2,2.0,2.6,3.8,4.8,6.6,9.6,9.6,11.2
1994,2.6,3.2,3.4,5.0,7.4,8.8,12.6,16.8,22.2
