Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1964,3.6,4.6,4.8,6.1,12.2,16.8,25.9,37.6,39.4
1965,2.5,3.6,3.6,4.1,6.3,10.9,21.3,27.2,35.6
1966,6.6,10.2,11.4,12.4,13.7,20.1,25.7,30.0,34.0
1967,1.8,3.3,4.3,4.6,5.3,7.6,13.7,18.0,19.8
1968,2.3,4.3,4.8,5.3,6.1,6.9,12.7,17.5,18.8
1969,3.6,4.1,4.1,4.3,6.6,9.1,18.5,28.7,31.7
1970,3.0,5.8,7.4,11.2,13.2,17.0,18.0,18.0,20.3
1971,2.0,3.8,5.3,6.1,6.9,9.9,10.9,16.8,19.6
1972,5.1,7.6,8.1,8.9,12.2,12.4,20.6,23.6,30.2
1975,2.3,4.1,4.8,5.3,5.6,6.6,9.9,15.0,18.3
1976,3.6,6.3,7.4,8.4,8.4,14.0,16.8,24.1,27.7
1977,4.1,5.3,5.6,5.8,6.6,12.4,14.2,15.0,23.1
1978,3.9,5.0,6.1,9.9,16.2,17.2,21.2,21.6,21.6
1979,5.8,7.6,9.4,10.6,10.6,10.6,12.2,18.2,23.2
1980,5.9,8.7,8.9,9.1,9.3,13.3,15.8,18.6,19.6
1981,,,,,19.7,21.2,25.0,27.6,27.8
1982,1.3,1.6,2.2,3.3,5.8,8.0,16.4,26.7,33.6
1983,7.2,14.2,14.7,21.7,21.9,22.0,22.0,22.8,25.0
1984,3.1,4.6,5.3,6.8,7.7,8.0,9.1,10.0,13.6
1985,5.9,7.3,7.6,7.6,8.7,9.0,9.9,12.2,16.7
1986,4.5,6.5,7.4,8.7,10.9,14.6,21.2,24.7,41.3
1987,2.7,4.5,6.0,6.7,7.9,8.6,9.3,11.6,16.9
1988,5.5,8.1,8.5,9.8,10.5,10.9,18.9,29.2,35.0
1989,5.0,6.1,6.5,9.8,12.3,16.3,24.4,25.2,34.2
1990,9.9,13.0,17.9,35.8,45.7,47.4,47.8,47.8,48.4
1991,5.4,6.0,6.2,6.2,7.8,9.6,14.0,15.2,20.4
1992,3.4,5.1,6.4,6.8,7.0,8.0,,,30.8
1993,3.3,3.9,4.6,5.9,7.0,8.6,11.9,15.0,18.5
1996,5.6,7.1,9.1,12.2,12.8,13.0,21.2,27.3,40.5
1997,5.7,11.2,12.4,14.6,18.3,20.5,26.8,26.8,33.0
1998,1.4,2.0,2.1,3.3,4.5,6.2,13.0,21.0,33.0
1999,3.5,5.0,5.4,5.6,7.6,11.5,16.0,24.1,29.0
2000,4.0,5.2,6.3,8.0,8.0,9.3,12.8,15.0,23.2
2001,3.5,5.1,6.2,6.5,7.7,12.5,23.3,,36.3
2002,4.6,5.6,5.8,5.8,5.8,8.0,11.5,16.8,24.4
2003,4.1,4.9,6.8,8.1,8.1,8.2,13.9,19.2,24.3
2004,4.3,6.7,8.4,8.6,9.8,11.3,18.1,26.6,30.3
2007,6.1,7.3,8.0,9.8,11.8,16.8,23.8,24.2,33.4
2009,2.0,2.3,2.7,3.4,3.9,6.5,14.7,23.8,32.3
2010,7.5,9.6,11.6,12.2,12.2,12.2,12.8,13.2,21.6
2011,7.5,10.1,12.4,16.7,18.8,19.4,25.0,25.0,25.0
2012,3.8,4.6,-99.0,-99.0,23.0,23.8,25.0,39.0,50.0
2013,12.0,14.7,15.0,15.0,15.0,15.0,17.4,29.6,43.3
2014,5.1,7.7,10.6,13.0,15.5,20.9,33.3,53.3,57.6
2015,3.4,5.5,7.8,9.9,13.0,13.0,20.0,23.2,25.2
2016,6.1,7.6,8.6,9.8,9.8,10.5,15.1,22.3,25.4
