Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1970,,,,,6.3,9.1,10.9,20.8,23.9
1971,,,,,11.2,11.2,22.9,34.0,41.9
1972,,,,,5.3,7.9,14.7,21.3,40.1
1975,,,,,5.6,7.6,10.9,18.0,28.7
1976,,,,,7.4,10.4,14.5,22.1,26.7
1977,,,,,6.6,12.2,25.4,28.2,28.2
1978,,,,,9.2,10.5,20.2,27.6,31.1
1979,,,,,4.8,6.8,10.0,11.4,17.2
1980,,,,,8.4,16.2,27.6,28.4,29.5
1981,,,,,8.0,10.8,12.6,20.0,28.6
1982,,,,,5.0,7.4,13.9,21.3,33.1
1983,,,,,7.4,10.6,14.2,15.6,23.4
1984,,,,,8.0,9.2,14.6,19.8,26.7
1985,,,,,7.0,7.7,11.8,15.4,21.5
1986,,,,,6.6,9.0,13.9,14.9,17.9
1987,,,,,7.9,11.6,18.5,25.8,37.0
1988,,,,,9.0,12.0,14.0,20.0,23.7
1989,,,,,,,,30.4,43.4
