Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2005,6.4,7.2,7.6,8.4,11.0,15.4,27.0,32.0,44.6
2006,4.8,6.0,6.6,9.0,11.4,12.2,13.8,17.2,18.6
2007,9.2,15.2,21.2,25.6,26.0,26.4,34.0,36.2,44.0
2008,7.2,11.2,13.4,17.6,21.6,25.6,32.8,38.8,43.4
2009,4.8,8.2,12.2,16.2,16.6,16.8,24.2,24.6,24.8
2010,4.8,5.8,7.0,10.8,14.4,15.6,17.0,21.4,25.8
2011,33.0,34.0,34.8,36.4,37.6,40.4,45.6,45.8,48.4
2012,2.6,3.8,4.2,5.4,9.2,15.2,33.2,37.4,55.8
2013,11.2,12.0,13.0,15.8,19.4,22.6,26.8,26.8,38.8
2014,7.2,9.2,10.0,11.4,12.6,12.8,16.2,20.8,27.2
2016,3.8,5.6,7.0,7.6,9.6,14.6,21.2,24.4,29.2
2017,3.6,4.8,5.2,6.2,9.6,11.4,16.4,21.2,29.2
