Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1974,,,,,5.1,6.3,8.1,11.4,14.5
1975,,,,,5.3,7.6,11.4,16.5,23.1
1976,,,,,8.1,11.9,16.0,23.4,26.9
1977,,,,,10.7,12.4,14.5,19.3,25.4
1978,,,,,5.7,8.4,11.2,19.2,28.1
1980,,,,,7.4,11.9,21.5,31.3,37.3
1981,,,,,8.7,12.3,27.8,31.1,32.0
1982,,,,,7.6,11.2,16.4,22.2,23.8
1983,,,,,5.4,7.2,15.1,23.9,29.7
1984,,,,,6.9,12.3,26.2,43.2,47.3
1985,,,,,6.4,10.1,15.3,23.3,27.2
1986,,,,,9.1,13.7,21.0,32.5,48.4
1987,,,,,9.1,10.4,14.2,20.2,25.2
1988,,,,,5.7,9.6,20.7,39.8,45.5
