Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,5.8,11.2,12.2,14.7,14.7,17.0,25.4,40.1,53.1
1972,2.3,4.3,5.8,9.7,10.4,18.3,45.2,84.6,124.2
1973,2.0,4.1,4.8,5.6,6.6,13.0,18.5,18.5,24.9
1974,7.4,9.4,10.4,12.4,14.7,22.4,37.3,41.7,41.7
1975,3.3,6.3,9.4,18.8,23.1,24.4,43.4,64.5,71.4
1976,5.8,7.4,7.4,8.1,12.7,25.1,46.5,52.1,62.2
1978,4.0,5.0,5.7,7.0,12.1,18.3,25.9,33.5,34.8
1979,3.0,5.6,8.4,16.8,19.9,21.6,22.7,33.5,49.4
1980,3.9,5.1,8.9,10.3,11.7,12.8,25.6,34.9,54.7
1981,5.7,6.8,7.0,7.2,8.6,10.7,15.0,16.7,22.7
1982,1.7,2.1,2.3,3.2,5.6,11.2,15.0,20.8,21.2
1983,2.2,4.0,5.3,5.8,6.0,8.1,13.8,14.8,16.5
1984,5.2,6.0,6.0,6.0,9.0,10.8,25.0,39.3,57.7
1985,,,,,,,,,
1986,1.9,2.0,2.3,4.6,4.9,6.0,14.0,14.0,15.2
