Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1971,,,,,16.3,21.8,27.4,30.0,30.2
1972,,,,,14.0,20.8,22.9,22.9,36.6
1973,,,,,13.0,19.0,29.7,36.6,66.0
1974,,,,,10.4,13.5,24.6,27.9,37.3
1975,,,,,47.8,59.4,63.8,63.8,66.0
1976,,,,,11.7,11.7,22.9,35.8,35.8
1977,,,,,11.2,17.3,18.5,23.4,35.6
1981,,,,,8.7,10.9,13.4,17.7,30.8
1982,,,,,12.5,15.7,24.4,24.7,34.1
1983,,,,,43.5,50.5,50.5,58.0,66.5
1984,,,,,5.4,10.0,23.9,41.1,49.6
1985,,,,,14.9,14.9,31.2,31.4,31.4
1986,,,,,11.3,16.4,20.7,20.7,30.8
1987,,,,,42.4,42.6,57.2,61.4,62.0
1988,,,,,23.7,26.7,42.9,46.3,50.7
1990,,,,,9.4,18.8,40.7,53.0,72.5
1991,,,,,11.1,17.0,20.8,21.6,33.7
1992,,,,,18.2,18.3,18.8,25.4,25.4
1993,,,,,17.6,18.5,19.8,,23.3
1994,,,,,14.3,19.4,52.2,80.8,81.9
2005,4.4,7.6,9.2,10.8,12.2,15.4,23.6,30.2,30.2
2006,3.4,5.6,6.2,6.8,9.4,11.4,17.4,22.6,26.6
2007,10.8,16.6,17.8,18.6,21.6,21.6,21.6,30.4,40.6
2008,4.6,5.8,6.6,7.8,9.8,13.2,20.8,31.0,53.0
2009,3.4,4.8,6.0,6.0,7.0,12.4,16.4,16.4,16.6
2010,6.6,9.0,12.0,15.8,20.2,23.4,30.8,33.0,35.8
2011,4.4,5.0,5.4,5.6,8.0,13.4,22.0,24.0,25.0
2012,9.2,11.0,13.0,13.6,15.0,18.2,23.4,26.8,36.6
2013,4.8,6.2,6.4,8.4,12.6,16.8,21.0,21.2,26.2
2015,4.0,5.4,5.6,6.8,8.6,13.8,19.2,24.2,38.2
2016,4.2,7.6,7.8,8.2,8.8,13.4,18.6,21.2,35.4
2017,5.4,7.0,9.4,13.6,19.8,23.6,29.6,34.0,36.0
