Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1989,6.3,7.8,9.6,10.4,12.2,17.2,33.0,37.0,66.6
1990,5.6,7.5,8.4,13.1,14.0,16.0,40.6,53.8,73.1
1991,9.4,17.5,24.4,25.4,28.4,30.1,30.6,30.6,37.0
1992,3.6,5.0,5.7,9.2,11.0,14.3,19.2,19.4,22.8
1993,4.5,7.4,8.1,8.3,13.1,14.7,17.9,30.3,44.1
1994,3.0,6.0,8.8,9.6,12.2,12.6,,,33.1
2005,3.2,3.6,5.4,9.2,12.4,17.0,22.4,22.8,23.4
2006,4.4,5.0,5.2,5.6,8.0,11.8,18.0,27.2,38.0
2007,8.0,11.8,12.6,15.4,15.6,15.6,21.8,25.6,25.8
2008,4.2,5.2,5.4,5.4,6.4,11.0,16.0,16.0,18.2
2009,3.4,6.0,8.8,10.0,11.4,13.2,15.4,21.0,23.8
2010,6.6,11.4,14.8,19.8,21.0,21.4,25.4,25.4,29.8
2011,6.6,10.2,13.6,18.8,19.4,29.4,32.8,35.2,53.4
2015,3.2,4.2,6.2,9.0,10.6,10.8,17.6,24.4,24.4
2016,7.0,12.6,17.2,20.6,32.0,38.4,56.2,63.8,71.0
2017,3.0,4.2,4.8,7.0,8.6,12.4,21.2,30.4,31.0
