Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2005,1.6,2.4,2.8,4.8,5.4,8.0,15.6,23.6,36.0
2006,6.2,10.8,13.4,16.8,18.2,18.2,18.2,23.6,26.6
2007,8.2,15.4,19.8,20.4,20.4,20.4,25.0,25.2,26.2
2008,5.1,6.2,6.8,10.2,12.3,13.1,20.0,24.9,26.1
2009,5.3,8.7,11.1,13.9,15.5,17.9,22.0,32.0,39.6
2010,3.2,4.0,4.6,7.0,10.6,12.8,19.4,24.8,33.0
2011,4.9,7.0,8.6,11.5,12.3,16.7,16.7,22.6,22.8
2012,9.7,13.8,17.1,24.4,31.1,33.3,46.7,47.1,47.1
2013,6.2,9.0,9.9,10.3,10.7,14.5,23.5,28.7,39.6
2014,13.0,15.7,16.3,20.6,21.6,23.8,29.2,30.0,33.5
2015,6.1,6.3,8.9,11.6,11.6,13.7,23.1,26.9,27.2
2016,6.8,9.2,10.9,21.2,24.7,33.6,34.6,44.8,45.2
2017,5.8,7.9,8.5,10.1,11.3,19.8,30.6,30.6,32.0
