Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1965,8.4,13.2,19.6,28.4,41.4,45.0,45.5,45.5,48.3
1966,6.9,9.1,11.7,21.8,27.4,31.2,31.2,31.2,31.2
1967,5.6,7.4,9.9,10.2,10.2,16.0,23.6,23.6,25.1
1968,2.5,4.6,6.3,8.4,10.9,12.7,20.1,22.9,33.5
1970,4.3,8.1,11.9,12.7,23.4,31.5,42.4,42.4,54.9
1971,2.5,3.0,3.3,5.3,8.1,14.7,23.4,31.0,31.0
1972,4.8,6.1,6.3,8.1,10.7,10.9,14.0,14.7,14.7
1973,3.6,4.3,5.6,9.1,11.7,13.7,30.2,54.9,84.6
1974,3.8,4.8,4.8,7.4,10.2,14.7,18.8,18.8,28.4
1975,3.6,5.6,6.9,9.4,9.7,13.5,27.9,45.5,47.5
1976,4.3,8.1,10.4,19.0,23.4,29.5,33.8,33.8,33.8
1978,7.3,12.6,13.5,14.6,16.5,21.2,32.0,35.8,39.8
1979,7.7,8.3,8.6,11.8,12.2,12.2,17.1,22.2,24.7
1980,4.3,5.1,5.9,5.9,8.3,15.9,23.7,26.1,26.1
1981,,,,,33.2,35.0,38.7,39.7,40.1
1982,8.1,11.0,15.3,21.2,21.8,22.0,22.7,30.2,37.7
1983,,,,,22.2,27.0,33.1,34.0,34.0
1984,2.1,2.8,3.7,4.6,5.1,9.6,22.4,28.4,38.5
1985,5.5,8.9,9.5,9.8,11.1,17.4,25.2,32.9,40.1
1986,10.5,15.6,19.3,22.0,22.2,22.4,33.8,42.3,57.3
1987,5.7,7.6,8.3,15.4,17.9,22.4,24.0,30.2,38.1
2005,7.2,9.4,11.6,12.8,12.8,16.8,34.2,53.0,77.2
2006,4.6,7.4,9.4,11.2,11.2,18.0,21.4,23.0,44.4
2007,3.6,4.8,5.2,7.0,9.4,9.6,11.2,18.6,21.6
2008,3.6,4.2,5.6,6.2,6.4,8.8,13.2,18.8,19.0
2009,7.4,13.0,15.2,17.6,24.8,31.8,56.0,63.0,63.0
2010,3.6,5.8,7.4,8.4,8.8,10.0,24.2,39.8,46.4
2011,9.8,11.8,13.2,15.4,15.4,15.4,15.6,21.0,29.4
2012,14.8,23.8,28.8,33.2,35.4,35.4,35.4,35.4,52.2
2013,5.6,7.4,9.4,13.6,21.0,25.6,27.2,37.2,39.4
2014,5.0,6.0,6.2,6.8,8.0,9.8,18.0,21.0,35.2
2015,2.0,3.0,3.8,5.4,6.6,7.6,14.6,23.2,29.4
2016,3.8,6.4,8.2,11.6,15.8,22.0,24.8,29.4,29.6
2017,4.2,6.0,6.4,6.4,8.2,12.2,13.8,21.6,22.8
