Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1962,12.7,21.1,22.1,23.1,24.9,25.9,26.7,26.7,26.7
1963,,,,,,88.9,96.5,96.5,96.5
1964,7.6,9.9,11.4,14.5,16.0,16.3,16.8,22.9,27.9
1965,7.6,10.7,13.0,14.2,18.0,19.6,33.3,50.0,69.6
1966,7.6,12.7,18.5,34.5,40.6,41.9,47.8,47.8,48.5
1967,3.0,3.8,4.3,7.1,9.1,10.9,17.5,20.1,31.5
1968,14.7,29.5,37.6,39.1,39.1,39.1,40.4,40.4,43.9
1969,8.6,13.5,16.0,29.0,43.7,52.1,53.8,53.8,53.8
1970,7.1,9.1,9.7,10.4,10.7,14.7,18.5,26.7,32.3
1972,4.3,6.1,7.1,7.6,10.4,14.5,27.7,28.2,31.2
1973,5.1,7.4,10.4,15.5,16.8,17.0,20.6,24.1,35.6
1974,6.6,7.6,7.9,8.4,10.7,17.0,34.0,34.5,40.6
1975,5.1,7.9,9.9,13.2,21.3,22.4,24.6,28.7,42.2
1976,13.2,18.3,20.8,31.5,37.3,37.8,47.8,75.9,116.8
1977,6.3,11.2,13.5,21.3,23.9,25.4,29.7,29.7,41.9
1978,6.8,10.3,14.4,17.9,19.6,23.8,33.0,41.1,59.2
1979,9.8,10.6,14.5,19.6,26.3,28.8,36.5,36.5,36.5
1980,5.5,6.1,6.7,7.8,7.8,8.4,11.9,17.7,30.6
1981,,,,22.1,22.4,22.4,32.1,36.9,36.9
1982,6.0,6.9,7.5,9.5,11.2,12.6,15.8,25.0,31.5
1983,10.1,11.9,17.8,18.4,18.7,19.2,23.7,23.7,23.8
1984,3.6,3.6,4.0,4.3,7.4,10.5,15.6,16.8,17.9
1985,5.4,6.4,8.6,10.7,11.8,14.0,20.3,26.6,37.0
1986,10.0,11.4,15.0,19.2,24.9,34.1,37.7,37.7,60.7
1987,5.2,7.6,10.0,10.6,11.6,14.0,16.4,30.0,30.0
1988,7.0,8.1,9.7,14.9,19.7,19.8,21.4,21.4,21.4
1989,3.6,4.6,6.4,12.4,13.8,14.1,23.2,34.5,38.3
1990,13.0,20.5,30.5,52.1,80.2,80.3,80.3,82.7,113.0
1991,5.7,10.9,13.3,13.8,15.4,19.6,21.1,37.5,49.5
1992,2.9,4.5,5.0,6.6,7.1,8.4,17.1,32.4,42.0
1994,7.3,7.9,8.4,10.6,13.1,13.6,,,32.4
1995,11.2,14.6,16.9,33.1,39.0,41.5,53.3,72.6,86.8
1996,14.2,14.5,14.7,15.4,15.4,15.4,16.6,,23.4
1998,4.6,7.2,10.5,14.3,18.1,18.4,,,44.0
2003,5.3,6.6,8.2,8.6,8.6,8.8,11.5,,14.8
2004,6.0,8.6,9.6,18.9,31.3,31.9,32.2,32.9,39.6
2007,4.0,5.6,7.3,11.2,19.5,29.4,49.7,56.3,62.2
2008,10.0,15.8,21.8,32.8,35.2,41.2,44.4,44.4,44.6
2009,5.8,9.6,14.0,15.6,21.2,29.2,39.4,42.0,42.6
2010,14.4,23.4,24.8,27.2,27.4,27.4,28.4,34.0,34.0
2011,7.2,11.2,14.0,19.4,23.0,25.8,39.8,51.8,67.8
2012,7.8,9.6,12.4,14.2,14.2,19.6,24.6,44.8,52.0
2013,3.6,6.4,8.0,10.8,12.2,17.6,17.6,24.8,33.8
2014,9.8,17.8,21.4,23.6,24.4,24.4,24.4,26.0,33.0
2015,6.6,7.8,8.2,11.0,13.2,16.8,22.4,23.0,33.4
2016,4.8,7.2,10.2,12.2,15.2,19.0,22.0,22.6,29.0
2017,4.4,4.6,4.6,4.6,6.0,11.0,25.6,30.8,34.0
