Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1972,3.3,6.1,6.9,8.1,11.2,18.5,32.0,45.2,45.7
1973,3.6,6.6,9.7,10.9,11.7,12.2,12.7,13.0,14.7
1974,6.3,10.2,14.7,17.5,19.0,21.1,26.4,38.6,69.6
1975,6.1,8.6,9.9,10.4,11.2,11.2,16.0,21.1,32.0
1976,7.6,10.9,16.4,21.1,22.6,22.9,26.4,30.5,32.0
1977,3.6,5.8,7.4,13.5,15.0,16.0,24.9,39.9,39.9
1978,5.8,9.8,13.4,19.4,33.3,37.8,38.6,38.6,38.6
1979,3.2,6.4,8.6,14.4,19.4,19.4,22.6,22.8,27.8
1980,5.6,8.9,11.9,11.9,12.0,17.2,21.7,29.1,39.7
1981,2.9,4.3,5.2,7.2,10.1,11.3,15.6,16.7,17.8
1982,6.7,7.2,7.3,7.3,10.0,19.4,22.3,28.8,28.8
1983,2.0,3.7,4.5,6.3,7.1,11.7,19.3,29.0,47.7
1984,6.3,10.5,13.4,17.9,19.2,20.3,22.4,22.4,23.8
1985,2.7,2.9,3.8,4.0,6.8,10.0,13.8,15.6,15.8
1986,3.4,4.2,5.0,6.8,8.0,12.2,26.8,26.8,33.2
