Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1986,3.0,4.0,5.0,9.0,9.7,10.5,15.4,15.4,23.0
1987,3.3,4.5,4.9,5.3,7.3,8.9,12.6,20.8,21.0
1988,2.8,3.5,3.8,4.4,7.1,10.6,17.9,19.7,30.1
1989,5.2,5.6,5.6,7.1,8.9,10.0,20.8,33.6,36.4
1990,3.4,6.2,7.9,8.8,11.6,17.2,20.0,33.5,36.8
1991,6.7,9.3,9.5,9.9,10.3,11.3,30.7,48.3,60.4
1992,3.6,5.3,6.7,10.2,10.8,14.2,22.1,25.8,32.6
1993,5.2,10.3,11.8,11.8,11.8,13.9,23.9,26.2,29.4
1994,1.6,3.0,4.2,5.2,8.4,14.6,24.4,25.6,26.8
1995,3.3,6.4,9.2,9.8,9.8,9.8,13.8,25.3,39.6
1996,9.0,9.2,9.2,9.2,12.1,12.1,14.9,21.4,28.0
1997,5.2,6.8,8.2,8.6,9.1,11.6,25.8,37.4,59.1
1999,3.8,5.8,7.9,15.5,19.5,23.1,26.5,31.0,38.5
2000,6.6,7.6,9.1,10.5,15.0,26.6,40.4,59.2,69.9
2001,7.2,8.0,9.5,12.2,12.2,13.0,13.5,15.4,18.4
2002,4.3,5.1,7.7,9.8,13.0,22.3,28.9,49.9,61.1
2003,3.4,6.8,10.0,18.9,32.1,43.8,49.2,55.2,58.8
2004,2.5,3.8,5.0,6.3,9.8,15.2,18.2,19.0,20.6
2005,9.4,11.0,14.0,15.6,15.8,15.8,26.3,26.7,28.1
2006,2.4,4.0,4.8,7.0,7.8,9.8,19.9,27.4,36.5
2007,4.4,4.6,5.3,9.5,10.9,13.2,17.4,20.5,21.5
2008,7.7,8.1,10.1,12.5,13.4,13.6,18.6,21.5,24.7
