Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1976,8.1,11.7,12.7,16.3,19.1,19.1,30.7,31.0,34.3
1977,5.3,7.6,9.1,15.0,24.4,30.5,41.7,48.5,55.9
1978,11.8,15.8,21.8,35.2,44.4,49.0,51.0,51.0,53.6
1979,3.4,5.4,7.4,9.0,12.5,14.4,21.6,22.8,28.7
1980,8.6,13.3,15.4,16.5,25.0,30.0,30.1,30.1,30.1
1981,11.5,18.9,22.3,26.2,29.0,29.1,30.5,41.1,64.8
1982,6.7,13.3,14.2,19.3,23.5,25.4,39.5,40.9,41.8
1983,8.4,16.8,18.8,19.0,27.2,33.0,44.6,44.8,53.8
1984,10.6,14.8,16.7,18.7,21.9,28.5,37.5,38.3,39.4
1985,5.3,9.9,11.4,15.0,20.7,23.4,44.4,68.8,80.0
