Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1963,5.8,9.4,13.2,18.5,22.6,25.1,31.0,31.0,35.8
1964,7.1,10.9,16.0,19.6,22.6,28.4,42.4,51.1,51.3
1965,3.0,4.8,6.9,10.4,14.2,17.5,29.0,31.5,37.6
1966,10.2,13.5,18.5,26.4,33.8,46.0,62.5,69.1,69.8
1967,6.6,9.7,10.9,16.8,24.1,36.3,48.8,57.9,58.2
1971,7.6,9.7,10.7,18.3,26.4,29.2,37.1,38.4,40.1
1972,2.0,3.0,4.6,7.4,9.9,14.0,15.0,22.4,22.6
1973,3.8,5.3,6.6,11.4,14.2,22.1,34.0,34.0,34.0
1974,2.5,5.1,7.4,9.9,15.5,22.6,41.4,47.2,52.1
1975,7.4,14.2,17.5,25.1,27.9,31.0,35.1,38.4,40.6
1976,8.1,10.4,12.2,16.5,21.6,25.9,29.2,31.7,49.8
1977,6.9,12.4,16.0,23.9,26.2,26.4,27.4,27.4,28.7
1978,1.7,2.6,3.2,6.3,7.3,8.2,16.4,19.0,22.8
1979,7.3,10.3,12.3,13.0,13.3,13.3,13.5,13.5,17.8
1983,4.9,9.3,13.7,21.9,23.0,27.9,33.0,33.9,36.6
1984,8.6,8.7,10.4,11.7,11.7,14.6,25.8,30.3,30.9
1985,8.6,8.6,8.9,9.8,11.5,15.2,18.7,25.7,33.3
1986,11.0,16.2,20.3,35.6,53.4,58.8,60.8,61.0,64.0
1987,6.5,9.5,12.5,13.5,15.3,18.5,20.9,34.9,41.0
1988,8.0,11.3,13.0,13.8,17.3,18.2,,,39.2
1989,9.2,11.8,16.8,21.2,27.8,34.2,43.9,53.2,74.3
1990,9.8,14.7,17.7,18.7,23.5,24.7,26.9,32.0,32.7
1991,8.0,9.0,13.2,16.8,20.6,27.9,29.2,29.4,32.6
