Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1967,10.2,16.0,22.6,35.1,48.3,58.9,65.8,70.1,74.2
1968,8.1,10.9,13.5,19.0,24.4,29.5,31.7,35.1,37.6
1969,8.9,13.0,17.0,25.1,31.7,37.1,49.5,52.3,55.6
1970,10.9,13.7,14.5,16.0,21.3,40.4,56.1,56.1,56.6
1971,10.2,13.5,15.2,16.8,20.3,24.4,35.1,59.2,73.9
1972,7.4,11.2,12.4,22.6,30.7,42.9,44.7,54.4,54.6
1973,14.0,20.3,29.0,33.0,34.8,36.6,46.5,54.4,54.4
1974,8.6,13.2,16.5,24.1,28.7,31.2,33.5,40.9,49.0
1975,17.5,19.0,19.8,19.8,30.0,36.6,38.4,41.1,44.2
1976,5.1,8.9,10.9,15.0,19.3,26.9,26.9,26.9,40.1
1977,,,16.5,19.0,22.9,29.2,38.1,41.7,41.9
1978,6.7,8.5,11.6,17.3,19.3,23.9,26.6,30.6,41.3
1979,9.0,15.9,21.1,22.5,25.1,27.4,31.1,38.4,39.9
1980,11.0,14.1,21.3,24.6,25.9,27.0,27.0,45.2,51.6
1981,6.1,8.1,8.3,11.4,15.4,20.2,34.0,34.2,34.2
1982,8.9,12.4,18.3,26.2,27.6,28.3,31.1,60.5,60.7
1983,7.0,12.6,14.3,18.8,24.7,29.3,38.5,38.5,38.5
1984,9.7,12.8,15.2,21.9,25.3,26.2,28.2,30.9,48.4
1985,6.4,9.1,11.3,14.3,20.4,40.6,68.2,96.4,96.6
1986,10.0,18.0,23.4,28.0,31.4,34.2,39.4,39.4,39.4
1987,8.0,11.8,17.7,18.4,29.2,42.1,61.1,61.7,67.8
1988,6.3,12.2,14.7,20.0,20.4,31.5,74.0,102.2,109.2
2004,6.6,9.4,12.8,18.4,21.6,23.8,24.0,37.6,52.2
2005,7.2,10.4,13.6,17.8,28.0,30.6,30.8,41.0,46.0
2006,10.2,13.6,15.8,17.8,21.2,32.8,64.2,77.2,80.8
2007,8.6,13.8,16.2,20.6,23.4,25.0,30.2,32.8,33.0
