Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1989,9.4,11.5,12.6,13.7,17.8,23.2,34.8,40.6,45.4
1990,7.9,9.5,12.2,13.6,17.4,20.9,,,46.3
1991,8.3,10.8,13.5,16.9,27.2,27.8,28.8,33.8,40.4
1992,16.1,22.7,29.7,30.7,34.9,37.2,44.0,47.0,49.5
1993,9.8,9.8,10.5,13.8,19.6,23.4,30.2,30.2,30.2
1994,8.4,11.5,11.5,11.5,11.8,15.0,28.2,39.4,47.0
1995,7.1,10.7,14.9,18.2,27.1,29.9,48.3,51.1,54.7
1998,7.1,10.2,11.5,15.2,16.2,16.4,21.0,21.0,23.7
1999,6.4,12.3,15.6,16.2,19.3,27.5,35.7,44.6,52.6
2000,10.7,13.9,17.1,22.4,39.9,54.9,66.3,68.2,69.6
2001,6.6,8.1,11.5,17.3,24.6,24.8,25.4,28.4,36.5
2002,12.7,20.4,22.0,25.1,25.9,26.3,26.6,35.6,41.2
2003,7.5,12.2,14.4,18.5,24.4,25.8,26.6,29.1,42.7
2004,8.4,14.0,18.1,24.8,42.8,44.2,44.2,44.2,59.7
2005,5.8,9.5,10.5,19.9,20.5,32.2,32.4,32.6,33.8
2006,5.0,7.2,7.8,11.4,12.1,14.0,18.6,23.9,26.1
2007,8.4,12.4,13.0,17.4,18.8,19.0,25.4,28.0,30.8
2008,13.0,19.8,22.4,31.4,38.2,44.4,59.0,59.0,72.0
2010,5.0,6.2,8.4,11.6,17.0,22.8,36.2,36.6,36.6
2012,8.4,10.8,13.0,18.0,23.2,27.6,28.6,35.6,42.0
2013,8.6,9.8,11.4,17.4,19.2,25.8,36.4,37.4,38.0
2014,10.0,15.0,18.0,25.0,32.0,33.0,38.0,38.0,40.0
2015,11.0,18.0,19.2,22.4,27.6,27.8,39.4,39.4,39.4
