Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1975,7.9,14.0,14.7,15.5,31.0,34.3,34.3,34.3,45.5
1976,9.1,13.2,17.0,20.8,22.4,32.3,37.8,48.3,49.3
1977,10.2,17.3,22.9,34.5,51.6,51.6,53.6,53.6,53.6
1978,4.6,9.1,11.4,16.0,16.0,21.2,23.9,34.5,37.0
1979,8.1,12.1,15.2,16.6,16.8,16.8,26.1,49.2,58.6
1980,11.7,17.8,18.8,25.7,35.0,37.3,41.6,41.8,70.9
1981,8.6,13.8,15.8,18.8,22.1,22.7,29.8,34.4,50.9
1982,13.4,18.8,24.9,33.8,34.7,35.9,35.9,36.4,36.4
1983,8.5,11.3,15.0,21.6,28.1,32.5,37.5,44.6,54.8
1984,12.5,17.2,18.7,19.9,22.2,25.7,29.4,33.0,33.0
1985,9.9,12.4,17.0,19.9,19.9,21.7,29.6,29.8,29.9
1986,7.4,9.9,13.3,21.9,24.0,37.7,48.2,48.4,51.0
1987,10.5,15.2,18.8,18.8,29.6,38.0,73.1,81.1,91.4
1988,7.7,9.6,10.6,13.4,15.6,18.8,29.5,37.0,40.0
1989,14.3,20.4,30.6,51.0,63.2,85.8,102.5,110.5,113.6
1990,12.2,14.1,16.7,23.3,36.7,50.5,77.9,106.3,106.4
1991,8.6,14.9,15.4,18.0,21.2,26.4,40.1,57.0,58.8
1992,6.9,9.4,12.5,22.2,36.5,55.0,75.7,83.4,85.8
1993,14.3,20.4,21.0,21.2,21.2,24.3,26.1,31.4,38.2
2002,17.6,22.4,23.2,23.4,23.4,30.2,41.8,49.0,51.6
2003,7.6,8.6,9.6,12.6,15.6,20.8,49.4,56.0,56.0
2004,13.0,19.2,23.6,41.8,61.0,63.4,65.4,65.4,72.6
