Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1973,8.6,13.0,17.0,18.8,21.6,22.4,23.6,23.6,34.1
1974,15.0,24.1,32.8,38.6,38.9,42.7,42.7,42.7,42.7
1975,7.6,8.4,9.7,10.7,15.2,19.8,35.6,35.6,35.6
1976,12.4,16.3,18.5,27.2,42.4,46.5,46.8,46.8,47.1
1980,14.8,17.8,23.1,25.5,25.5,25.5,29.6,33.4,33.4
1981,13.9,23.8,32.1,36.0,37.7,37.7,37.7,37.7,44.9
1982,7.4,14.4,21.5,28.9,34.1,35.7,37.2,37.4,40.6
1983,6.5,13.0,16.8,31.1,31.1,31.3,46.0,46.0,46.0
1984,4.0,5.7,7.7,11.4,14.5,16.2,19.2,20.4,30.8
1985,17.4,27.3,34.9,39.6,42.0,42.2,42.3,43.3,44.8
1986,9.7,15.2,17.5,22.2,24.7,43.7,80.8,84.8,84.9
