Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1973,8.1,9.9,13.0,14.2,14.2,18.5,22.4,25.7,38.6
1974,8.1,11.7,15.0,23.4,27.2,31.2,38.4,41.9,42.7
1975,6.1,8.1,9.9,14.2,20.6,26.2,36.1,40.1,40.1
1976,8.9,11.2,14.5,15.5,19.0,19.6,31.7,35.6,46.2
1977,13.7,25.9,36.3,50.8,53.3,53.3,53.3,53.3,53.3
1978,5.2,6.0,9.0,9.4,12.3,16.8,25.2,25.6,27.0
1980,8.6,11.9,14.7,15.1,15.2,21.7,22.0,25.0,30.2
1981,,,,,12.2,12.4,12.4,12.4,12.4
1982,5.9,10.9,15.8,27.7,38.6,41.0,43.7,44.1,44.7
1983,7.8,12.6,15.4,22.0,30.8,31.4,31.4,31.4,31.4
1984,5.6,9.4,12.4,20.5,26.3,28.2,28.4,28.4,37.2
1985,14.5,21.2,27.1,37.2,38.1,38.2,38.2,38.5,38.5
1986,8.4,12.6,18.9,33.8,43.9,46.2,65.6,67.2,70.0
