Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1986,8.8,12.7,19.0,37.9,57.6,60.5,64.1,67.0,71.4
1987,13.2,19.8,19.8,19.8,21.9,24.2,26.0,26.0,29.8
1988,7.0,10.6,14.1,16.5,17.8,19.7,38.5,44.7,46.9
1989,14.1,18.2,22.4,38.0,38.6,38.7,55.0,55.0,55.0
1990,8.2,11.1,16.2,16.2,16.2,18.2,26.7,29.4,39.7
1991,8.2,12.6,13.0,13.4,13.8,14.4,24.6,28.2,38.0
1992,12.8,15.1,15.3,15.8,24.2,29.7,36.3,40.2,49.5
1993,13.3,18.0,19.0,19.0,24.3,28.1,29.1,29.1,43.7
1994,11.0,11.2,16.4,16.8,18.3,20.0,22.4,28.7,35.3
1995,6.8,13.2,14.8,19.7,27.4,27.8,40.3,53.1,57.1
1996,7.7,10.2,13.6,22.0,31.2,31.2,38.6,63.5,66.5
1997,7.1,9.5,10.5,13.2,13.2,16.0,26.8,27.2,31.8
1998,6.7,9.1,11.7,13.2,14.0,14.8,20.7,25.0,36.4
1999,10.3,14.0,20.1,24.8,25.2,25.9,36.8,49.3,57.8
2000,13.3,21.8,29.7,34.2,35.0,36.4,51.9,51.9,64.7
2001,11.7,16.8,17.3,17.5,17.5,25.4,38.7,42.7,48.5
2003,7.8,8.0,8.4,10.9,14.5,18.8,34.2,38.9,39.7
2004,5.6,10.4,13.8,19.3,21.3,21.3,21.3,22.0,25.3
2005,,,,,,,45.6,45.6,54.8
2006,5.8,8.2,8.4,9.6,10.4,15.0,22.8,36.0,38.2
2007,7.0,10.8,13.8,15.8,18.6,23.0,30.2,37.9,42.1
