Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1965,6.9,12.4,15.7,21.6,21.8,21.8,31.5,32.0,41.7
1966,5.3,7.4,9.9,11.9,13.5,19.6,29.5,36.6,36.8
1967,6.6,10.2,10.7,17.0,26.2,29.2,33.3,53.8,54.1
1968,7.4,9.7,13.0,25.7,30.7,46.2,59.7,59.7,59.7
1969,6.6,8.4,11.4,17.3,22.1,25.7,25.7,35.3,38.9
1970,12.7,19.8,20.6,20.6,21.3,31.7,38.4,41.7,41.7
1971,10.7,14.2,17.8,28.2,33.5,33.5,33.5,43.2,46.7
1972,7.9,11.4,13.2,15.0,15.0,15.0,24.9,27.2,37.6
1973,8.1,8.6,12.2,14.5,23.9,32.0,32.5,32.5,43.2
1974,4.3,8.6,13.0,16.8,20.3,29.0,40.4,52.8,55.9
1975,8.6,12.7,15.2,17.5,26.4,30.7,41.1,54.1,54.4
1976,12.7,16.0,17.5,19.0,31.7,41.4,77.5,81.8,97.8
