Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1969,6.6,10.9,11.9,18.3,24.6,25.1,34.5,47.8,50.5
1972,4.8,7.9,8.4,13.5,16.5,17.0,29.5,38.6,57.1
1973,,,,,20.1,26.9,35.3,62.0,79.5
1975,,,,,24.1,32.5,42.2,42.4,44.7
1976,,,,,13.0,14.5,27.2,37.1,39.1
1977,,,,,24.4,36.3,36.3,71.6,71.6
1978,,,,,21.2,28.3,36.1,43.6,66.9
1979,,,,,40.5,59.0,59.0,70.8,78.8
1980,,,,,20.0,35.2,42.6,46.0,49.6
1981,,,,,20.8,32.6,62.0,62.6,65.0
1982,,,,,13.5,20.3,36.3,41.0,42.7
1983,,,,,18.0,18.7,26.5,35.4,53.8
1984,,,,,10.0,17.0,20.0,31.0,37.0
