Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1972,,,,,18.3,21.8,39.6,54.1,68.6
1973,,,,,16.3,20.1,32.5,57.9,75.7
1974,,,,,20.3,24.6,29.5,30.0,42.7
1975,,,,,18.8,23.6,42.4,43.7,43.7
1976,,,,,11.2,15.0,23.9,33.0,34.3
1977,,,,,21.3,28.2,40.9,50.0,54.6
1978,,,,,18.0,28.6,36.1,45.2,68.4
1979,,,,,47.4,67.6,70.3,70.3,70.5
1980,,,,,23.3,35.0,48.0,51.8,51.8
1981,,,,,17.5,34.1,67.5,68.4,71.1
1982,,,,,18.5,23.4,38.1,44.8,44.8
1983,,,,,14.2,17.6,27.1,40.3,59.6
1984,,,,,16.5,22.7,35.7,49.7,63.4
1985,,,,,16.7,24.3,40.1,59.4,67.1
1986,,,,,12.8,22.8,40.0,76.0,80.5
1987,9.6,10.0,12.5,21.8,25.3,29.0,45.1,53.4,69.2
1988,10.2,11.3,14.7,23.3,25.9,35.5,41.8,41.8,65.3
1989,9.0,12.0,18.0,20.7,26.5,26.9,42.0,55.4,61.0
1990,8.1,8.1,9.3,16.0,19.8,25.2,46.9,54.9,66.6
1991,4.0,7.3,10.0,12.0,13.0,14.3,23.0,23.4,30.6
1992,6.1,10.0,12.2,18.0,21.4,24.9,41.9,56.6,77.4
1993,9.3,16.1,22.8,34.9,45.3,57.4,58.8,60.0,60.4
1994,7.0,9.1,11.3,17.3,25.8,29.2,32.4,36.6,42.9
1995,5.1,5.7,6.8,12.5,20.7,28.9,37.6,37.6,45.8
1996,4.9,8.6,9.8,14.3,18.8,30.7,,,69.0
