Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1977,9.7,15.0,15.2,20.6,22.9,23.9,33.3,36.6,40.9
1978,4.4,7.7,10.1,10.3,12.8,16.1,28.6,36.4,49.5
1979,7.5,10.1,11.2,19.8,32.2,38.5,58.5,78.3,78.3
1980,5.4,8.3,9.2,13.7,23.3,33.6,41.9,42.1,43.6
1981,,,,,20.5,36.7,66.7,68.8,68.8
1982,3.5,5.5,7.3,13.2,22.0,32.1,44.2,46.6,47.8
1983,6.1,10.5,14.3,22.1,22.9,23.0,26.5,42.3,51.7
1984,7.8,11.0,12.8,14.3,17.0,22.5,33.5,41.1,60.9
1985,6.9,10.1,12.0,13.9,17.3,22.0,38.0,49.9,60.4
1986,5.7,7.3,9.4,16.2,16.7,16.7,29.2,35.6,54.7
1987,9.6,12.1,13.3,18.9,20.7,23.0,,,41.0
1988,9.7,12.9,18.4,24.2,31.0,31.7,31.7,31.7,31.8
1989,7.4,10.4,13.3,16.9,22.7,23.3,,,51.4
1990,7.1,9.3,10.8,13.4,22.2,23.4,,,51.4
1991,11.2,19.4,19.4,26.4,30.6,31.2,33.3,44.2,73.8
1992,6.0,9.8,14.7,18.4,24.6,33.1,50.4,60.2,73.8
1993,9.5,17.0,20.1,21.8,22.7,24.6,24.8,32.0,35.4
1994,11.4,18.5,23.5,25.4,25.4,33.2,33.2,42.6,43.9
1996,9.6,10.4,13.0,16.1,20.5,23.2,,,79.4
1997,9.4,15.1,18.9,20.4,21.6,26.2,29.8,32.2,32.2
1998,12.2,15.0,18.3,24.2,25.3,29.7,29.7,37.7,38.0
