Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1963,4.3,7.6,9.1,17.3,25.9,38.4,54.4,65.8,65.8
1964,7.9,12.2,17.5,20.1,26.2,29.2,36.1,36.1,36.8
1965,8.6,11.9,12.2,15.5,18.0,18.8,31.0,44.2,45.5
1966,9.1,10.2,14.7,17.0,19.0,20.3,31.2,36.1,36.1
1967,4.8,6.6,8.9,15.5,20.6,22.9,31.7,37.3,39.4
1968,8.9,14.2,16.8,17.5,21.8,24.9,32.0,33.3,35.8
1970,5.8,9.7,10.4,16.8,18.0,18.3,18.8,34.8,42.2
1971,9.1,15.0,18.5,32.8,51.6,55.1,55.1,55.1,55.6
1972,9.4,11.7,13.7,20.1,22.6,24.4,35.3,41.1,51.8
1973,17.3,23.9,25.4,28.7,30.2,41.1,41.1,41.1,43.4
1974,8.4,15.5,18.0,22.9,23.4,24.6,37.6,38.1,38.1
1975,11.2,18.8,23.6,41.7,49.8,65.0,82.8,83.1,88.1
1976,5.1,7.9,9.9,16.8,21.6,33.8,37.3,37.3,37.3
1977,4.1,8.1,10.7,13.2,14.0,14.0,17.8,23.6,46.5
1978,5.4,7.8,8.0,11.2,15.0,15.7,23.4,28.0,28.0
1979,9.2,18.4,23.9,24.8,25.1,25.9,59.9,82.4,84.6
1980,5.8,8.9,12.8,17.0,21.7,42.4,53.4,56.1,76.3
1981,7.7,7.9,8.6,15.0,24.8,25.0,32.1,33.4,39.3
1982,4.5,8.4,11.9,14.2,16.6,17.6,31.2,31.9,31.9
1983,4.8,9.6,12.1,14.3,24.9,25.9,28.2,29.3,39.4
1984,7.4,9.7,12.3,17.7,19.7,23.7,36.4,39.4,50.5
1985,6.0,8.5,9.2,9.4,11.2,17.2,25.7,40.6,46.1
1986,7.4,13.3,15.3,16.7,21.7,26.8,43.1,43.5,46.0
1987,9.4,16.2,18.8,28.1,37.3,38.4,48.3,51.0,70.7
1988,6.3,9.9,10.9,11.3,12.8,17.3,,,39.0
1989,7.2,12.8,17.8,29.0,40.1,43.6,46.0,49.4,65.0
1990,3.6,6.9,9.6,11.1,17.5,20.5,31.2,36.6,40.6
1991,6.5,10.6,13.5,15.9,18.2,24.3,28.2,36.9,40.7
