Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2005,8.0,9.0,10.4,14.6,20.2,26.2,62.0,74.2,76.0
2006,10.8,14.2,15.8,20.2,24.0,26.2,30.8,45.0,47.6
2007,11.4,12.0,16.0,21.6,29.6,32.8,55.2,60.4,60.4
2008,10.4,16.2,18.2,18.8,19.8,19.8,40.6,52.6,61.6
2009,8.6,11.0,13.8,25.2,33.4,35.0,36.2,37.8,38.0
2010,5.6,9.2,10.8,14.0,15.2,20.4,36.4,50.6,60.6
2011,9.6,11.2,12.0,12.8,19.4,38.0,84.2,106.4,108.6
2012,8.8,15.4,17.8,20.8,22.2,32.0,33.6,38.2,45.6
2013,10.4,16.8,21.2,31.8,36.2,39.2,39.8,40.0,48.2
2014,4.6,7.8,10.6,12.8,17.2,21.4,41.4,44.6,44.8
