Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2005,10.4,16.8,20.2,22.2,23.2,30.6,75.4,91.8,95.6
2006,4.8,7.8,10.4,11.2,16.6,20.8,35.8,38.0,50.6
2007,7.8,7.8,7.8,7.8,10.0,18.8,38.6,42.4,42.4
2008,6.4,8.0,9.2,11.0,12.0,17.6,34.8,52.6,89.6
2009,5.4,6.6,9.4,16.6,18.4,19.0,25.6,31.0,36.2
2010,7.0,9.2,10.2,12.0,13.4,22.2,36.6,47.2,56.2
2011,18.4,20.0,20.8,34.0,43.6,44.8,47.2,47.6,47.6
2012,3.6,5.6,6.2,9.0,9.8,16.6,35.4,49.8,53.8
2013,4.2,5.8,6.8,9.8,15.8,16.2,21.0,36.4,37.0
2014,3.2,5.0,6.2,9.0,15.6,21.2,31.0,52.6,70.6
2015,2.6,4.4,5.6,7.2,10.2,14.4,28.2,29.8,34.2
2016,5.2,6.6,7.0,9.4,13.6,15.0,29.0,34.6,45.8
2017,4.8,6.6,7.0,8.0,11.0,15.0,23.6,29.6,45.8
