Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
1983,2.3,3.6,4.5,6.8,10.6,17.9,19.5,28.3,44.2
1984,4.9,6.9,9.2,13.9,26.4,31.1,41.8,50.4,52.6
1985,5.2,5.5,5.8,7.9,9.2,14.8,26.5,38.1,42.6
1986,4.4,7.0,8.7,13.7,25.5,35.8,48.2,48.2,51.8
1987,3.6,4.8,6.5,12.3,21.0,29.3,61.0,75.8,78.5
1988,8.8,13.6,15.2,17.8,24.2,25.7,33.4,45.4,55.8
1989,2.1,3.6,5.3,9.4,13.0,20.8,31.3,32.2,46.8
1990,3.1,6.1,9.2,13.1,14.6,25.8,69.9,95.4,137.6
1991,8.9,12.6,12.9,14.1,15.4,23.4,27.8,31.9,44.6
1992,3.5,5.6,6.8,8.9,13.6,17.1,34.4,45.3,56.0
1993,5.5,8.7,12.5,20.2,30.5,47.1,55.6,57.0,57.0
1994,3.1,4.6,5.3,7.6,12.8,16.0,25.9,38.7,65.0
1995,4.3,6.8,8.8,13.1,17.5,26.8,56.8,74.4,78.3
2004,3.4,5.0,6.2,8.6,10.2,15.3,31.7,41.9,46.0
2006,4.2,8.3,12.3,24.2,32.3,36.5,42.1,44.6,50.6
2007,10.5,19.3,19.7,20.1,28.0,29.3,41.9,69.1,78.7
2011,4.6,8.8,9.3,15.0,20.7,28.3,33.6,42.2,76.2
2012,4.9,9.5,10.5,14.9,18.2,26.4,49.4,63.4,86.2
