Année,5 min,10 min,15 min,30 min,1 h,2 h,6 h,12 h,24 h
2005,9.4,10.2,10.2,17.0,21.2,21.2,27.2,34.8,43.4
2006,4.2,6.8,7.0,11.2,13.8,16.8,32.4,44.0,64.6
2007,6.8,12.0,15.0,18.4,20.6,21.2,27.8,42.6,48.0
2008,8.8,9.8,10.4,11.0,15.0,23.8,44.8,54.8,61.6
2009,7.6,13.4,18.6,37.0,47.0,58.8,62.2,87.8,102.4
2010,5.0,8.0,10.6,13.6,14.4,23.8,41.6,65.0,72.0
2011,8.4,11.2,13.0,14.6,18.8,29.8,42.8,58.8,61.2
2012,8.8,14.0,15.8,17.2,18.2,18.4,35.0,35.4,36.2
2013,8.8,13.2,13.4,14.0,14.0,14.4,32.4,46.2,47.2
2014,4.2,6.4,8.4,10.2,11.2,11.2,18.6,29.2,45.6
2015,9.6,14.0,16.8,17.8,18.2,24.0,24.6,24.8,25.0
2016,7.2,10.6,12.8,14.8,23.8,24.4,24.4,27.0,35.6
2017,7.6,8.2,8.4,8.6,10.6,13.8,19.0,23.2,27.0
